zip,lat,lng,mi_sac,mi_oak,mi_nearest
95337,37.74304,-121.23838,59.6,56.6,56.6
95338,37.50876,-119.98250,110.7,126.8,110.7
95340,37.34578,-120.42415,103.4,106.0,103.4
95341,37.23105,-120.50107,107.9,104.8,104.8
95345,37.58377,-119.97673,107.5,126.4,107.5
95346,38.06553,-120.17070,80.1,115.9,80.1
95348,37.39229,-120.49830,98.5,101.1,98.5
95350,37.67198,-121.00741,68.2,69.7,68.2
95351,37.62360,-120.99632,71.5,70.8,70.8
95354,37.63903,-120.96477,71.2,72.3,71.2
95355,37.67291,-120.94659,69.5,72.9,69.5
95356,37.71802,-121.03271,64.7,67.9,64.7
95357,37.67254,-120.88714,71.0,76.2,71.0
95358,37.61261,-121.10857,70.2,64.9,64.9
95360,37.32596,-121.19338,88.3,67.7,67.7
95361,37.78724,-120.75920,67.9,82.6,67.9
95363,37.45289,-121.22997,79.3,61.9,61.9
95364,38.25839,-119.78302,95.3,139.0,95.3
95365,37.33111,-120.29482,108.3,113.1,108.3
95366,37.76277,-121.12528,60.0,62.6,60.0
95367,37.72928,-120.94290,66.1,72.7,66.1
95368,37.71327,-121.08540,64.0,65.1,64.0
95369,37.53189,-120.43741,92.6,102.0,92.6
95370,37.98455,-120.34926,74.6,105.5,74.6
95372,37.99129,-120.26279,78.3,110.3,78.3
95374,37.31681,-120.85575,94.1,84.5,84.5
95375,38.18659,-120.02623,84.1,125.1,84.1
95376,37.73719,-121.43338,58.4,46.0,46.0
95377,37.67394,-121.51723,62.7,42.2,42.2
95379,37.93977,-120.18805,83.6,114.0,83.6
95380,37.47440,-120.87592,83.6,79.7,79.7
95382,37.52848,-120.85331,80.7,79.9,79.9
95383,38.11276,-120.22575,76.0,113.4,76.0
95385,37.61074,-121.24733,68.4,57.5,57.5
95386,37.66741,-120.62940,78.7,90.2,78.7
95387,37.51935,-121.29654,74.2,56.8,56.8
95388,37.41467,-120.58679,94.6,96.0,94.6
95389,37.62649,-119.68128,118.6,142.1,118.6
95391,37.76822,-121.60951,56.5,36.2,36.2
95401,38.44914,-122.79375,70.8,52.8,52.8
95403,38.50368,-122.75406,68.3,55.0,55.0
95404,38.52573,-122.69044,64.7,54.8,54.8
95405,38.43711,-122.66599,64.1,48.7,48.7
95407,38.39330,-122.74505,68.9,48.2,48.2
95409,38.46883,-122.58072,59.2,48.9,48.9
95410,39.19947,-123.70225,126.2,123.6,123.6
95412,38.71342,-123.34978,100.5,85.8,85.8
95415,39.01525,-123.37076,105.4,102.7,102.7
95417,39.68979,-123.61002,136.8,148.9,136.8
95420,39.36615,-123.80499,135.4,136.0,135.4
95421,38.62822,-123.16083,90.0,74.6,74.6
95422,38.97301,-122.62392,66.6,83.0,66.6
95423,39.06445,-122.62670,69.5,89.2,69.5
95425,38.82306,-123.06389,86.3,82.5,82.5
95426,38.83342,-122.73406,69.1,75.4,69.1
95427,39.24418,-123.56353,120.3,121.6,120.3
95428,39.82480,-123.17961,124.6,147.9,124.6
95429,39.72093,-123.30026,124.7,143.6,124.7
95430,38.46142,-123.04719,84.3,62.0,62.0
95431,38.34834,-122.51706,57.6,39.9,39.9
95432,39.10825,-123.64512,121.3,116.8,116.8
95435,39.00721,-122.86951,79.7,89.2,79.7
95436,38.48682,-122.90562,76.6,58.4,58.4
95437,39.48718,-123.74196,135.9,140.8,135.9
95439,38.49318,-122.77755,69.6,55.0,55.0
95441,38.73169,-122.90677,76.9,72.8,72.8
95442,38.37154,-122.48731,55.6,40.9,40.9
95443,39.05401,-122.75125,75.1,90.2,75.1
95444,38.43322,-122.86900,75.0,54.3,54.3
95445,38.83252,-123.47253,108.1,96.4,96.4
95446,38.52716,-123.00789,81.9,64.0,64.0
95448,38.62298,-122.88912,75.4,65.8,65.8
95449,38.93614,-123.11944,90.9,90.7,90.7
95450,38.50136,-123.17088,90.8,68.6,68.6
95451,38.92213,-122.78956,73.6,82.2,73.6
95452,38.42552,-122.53521,57.3,45.3,45.3
95453,39.04593,-122.94108,84.2,93.1,84.2
95454,39.80610,-123.51615,137.4,153.7,137.4
95456,39.25820,-123.76156,130.5,128.8,128.8
95457,38.88297,-122.53272,59.7,75.9,59.7
95458,39.16128,-122.74531,78.3,97.2,78.3
95459,38.97664,-123.60480,116.9,108.5,108.5
95460,39.30524,-123.74862,131.0,130.9,130.9
95461,38.75277,-122.55720,58.5,67.3,58.5
95462,38.46214,-123.01838,82.8,60.9,60.9
95463,39.18679,-123.55838,118.6,118.2,118.2
95464,39.12836,-122.84930,82.1,96.7,82.1
95465,38.42193,-123.06391,85.6,60.6,60.6
95466,39.08182,-123.50487,113.6,110.7,110.7
95467,38.80826,-122.53995,58.5,70.9,58.5
95468,38.91889,-123.60568,116.1,105.6,105.6
95469,39.39092,-123.05284,100.7,117.5,100.7
95470,39.31403,-123.24992,107.0,116.9,107.0
95471,38.52408,-122.96877,79.8,62.5,62.5
95472,38.39881,-122.86192,75.0,52.1,52.1
95476,38.24943,-122.46663,57.4,32.5,32.5
95482,39.13502,-123.25934,102.4,106.3,102.4
95485,39.22548,-122.92291,88.8,104.3,88.8
95486,38.47414,-123.02420,83.0,61.8,61.8
95488,39.68371,-123.74161,142.5,152.1,142.5
95490,39.49284,-123.34097,117.4,130.2,117.4
95492,38.52808,-122.82135,71.8,58.3,58.3
95493,39.18473,-122.96957,89.6,102.6,89.6
95494,38.88965,-123.33782,101.6,94.7,94.7
95497,38.74304,-123.47642,107.5,92.1,92.1
95552,40.20254,-123.22861,145.3,173.5,145.3
95585,39.84468,-123.65693,145.0,159.5,145.0
95595,40.12318,-123.44628,149.1,172.2,149.1
95601,38.42670,-120.82572,37.7,89.6,37.7
95602,38.99003,-121.11441,34.9,103.1,34.9
95603,38.91587,-121.08028,32.1,100.3,32.1
95604,39.24330,-120.07141,89.1,155.0,89.1
95605,38.59352,-121.53987,2.6,67.5,2.6
95606,38.75618,-122.19544,39.7,65.9,39.7
95607,38.83037,-122.12695,38.2,71.3,38.2
95608,38.62415,-121.32491,9.6,76.5,9.6
95610,38.69491,-121.27177,14.3,82.0,14.3
95612,38.38471,-121.57872,14.3,55.0,14.3
