TRUCRS ID,Name,Carrier Number,Carrier Type,Complies,Date Certificate Printed,ZEV Fleet,Email,URL,Address,Phone,Date Parsed,Year,Month,Year-Month
200328,ATLASIB LLC,504838,CA Number,TB,2025-05-29 3:27:49,N,,,,,2025-05-149 03:27:00,2025,5,2025-05
159494,BEDI TRANS INC,485162,CA Number,TB,2025-05-29 3:27:25,N,,,,,2025-05-149 03:27:00,2025,5,2025-05
159494,NEW TRANSPORT INC,2894636,USDOT Number,TB,2025-05-29 3:27:25,N,,,,,2025-05-149 03:27:00,2025,5,2025-05
185671,all seasons transport inc,591576,CA Number,TB,2025-05-29 3:18:34,N,,,,,2025-05-149 03:18:00,2025,5,2025-05
185671,L & S Construction Inc.,3448745,USDOT Number,TB,2025-05-29 3:18:34,N,,,,,2025-05-149 03:18:00,2025,5,2025-05
218260,"SNM LOGISTICS, LLC",3718429,USDOT Number,TB,2025-05-29 3:17:34,N,,,,,2025-05-149 03:17:00,2025,5,2025-05
240913,BIG RUDY,124386,IRP Number,TB,2025-05-29 3:16:53,N,,,,,2025-05-149 03:16:00,2025,5,2025-05
247243,J Medina Trucking,3228778,USDOT Number,TB,2025-05-29 3:15:32,N,,,,,2025-05-149 03:15:00,2025,5,2025-05
266346,NVK LOGISTICS INC,576382,CA Number,TB,2025-05-29 3:13:37,N,,,,,2025-05-149 03:13:00,2025,5,2025-05
266354,Erick & sons transportation inc.,4334668,USDOT Number,TB,2025-05-29 3:03:08,N,,,,,2025-05-149 03:03:00,2025,5,2025-05
266353,SHINDER SINGH RATHORE,646330,CA Number,TB,2025-05-29 2:54:48,N,,,,,2025-05-149 02:54:00,2025,5,2025-05
248834,Robles Trucking Quality Service Inc.,3154365,USDOT Number,TB,2025-05-29 2:49:09,N,,,,,2025-05-149 02:49:00,2025,5,2025-05
266352,SONOMA VALLEY TRANS INC,3896716,USDOT Number,TB,2025-05-29 2:47:41,N,,,,,2025-05-149 02:47:00,2025,5,2025-05
105113,Miguel Angel Ortiz,450216,CA Number,TB,2025-05-29 2:42:24,N,,,,,2025-05-149 02:42:00,2025,5,2025-05
122004,PROJECT METALS,270256,CA Number,TB,2025-05-29 2:35:19,N,,,,,2025-05-149 02:35:00,2025,5,2025-05
266348,Jesus Anakaren Alvarez,3746113,USDOT Number,TB,2025-05-29 2:15:15,N,,,,,2025-05-149 02:15:00,2025,5,2025-05
